latitude,longitude,desc,events,count
40.442169,-79.994945,Pittsburgh,"['TEDxPittsburgh', 'TEDxCMU']",2
40.640316999999996,22.935272,Thessaloniki,['TEDxThessaloniki'],1
40.713054,-74.007228,New York,"['TED Residency', 'TED-Ed Weekend', 'TEDNYC', 'TEDSalon NY2015', 'TEDYouth 2015', 'TED@Unilever', 'TEDYouth 2014', 'TEDSalon NY2014', 'TEDxNewYork', 'TEDxMet', 'TEDCity2.0', 'TED@NYC', 'TEDSalon NY2013', 'TEDYouth 2012', 'TED@New York', 'TEDSalon NY2012', 'TEDYouth 2011', 'TEDxManhattan', 'TEDxTeen', 'TEDxWomen 2011', 'TEDPrize@UN', 'TEDSalon NY2011', 'TEDxEast', 'TEDxNYED', 'TEDSalon 2007 Hot Science', 'TEDSalon 2006']",26
40.758478000000004,-111.88814199999999,Salt Lake City,['TEDxSaltLakeCity'],1
40.801899,-77.856697,University Park,['TEDxPSU'],1
40.896694000000004,-77.838886,PA,['TEDxPenn'],1
40.925686,-73.141129,Stony Brook,['TEDxSBU'],1
41.003603999999996,-80.344422,New Castle,['TEDxPuget Sound '],1
41.149456,-8.610766,Porto,"[""TEDxO'Porto""]",1
41.20237,-76.786061,Muncy,['TEDxMuncyStatePrison'],1
41.258652000000005,-95.93719499999999,Omaha,['TEDxOmaha'],1
41.588822,-93.62030899999999,Des Moines,['TEDxDesMoines'],1
41.824461,-71.412747,Providence,['TEDxProvidence'],1
41.883229,-87.632398,Chicago,['TEDxMidwest'],1
42.052157,-87.687867,Evanston,['TEDxNorthwesternU'],1
42.098702,-75.912543,Binghamton,['TEDxBinghamtonUniversity'],1
42.281419,-83.748478,Ann Arbor,['TEDxUofM'],1
42.283773,-71.34729200000001,Natick,['TEDxNatick'],1
42.332916,-83.047853,Detroit,['TED@MotorCity'],1
42.333674,-71.120879,Brookline,['TEDxBeaconStreet'],1
42.358894,-71.056742,Boston,"['TED@StateStreet Boston', 'TEDxBoston', 'TED@State Street Boston', 'TEDxBoston 2012', 'TEDxBoston 2011', 'TEDxBoston 2010', 'TEDxBoston 2009']",7
42.365248,-71.10501500000001,Cambridge,['TEDxCambridge'],1
42.375805,-72.519871,Amherst,['TEDxHampshireCollege'],1
42.452705,-83.15714200000001,[8500 - 8599] New,['TEDxChange'],1
42.697721,23.322596,Sofia,['TEDxBG'],1
42.965446,-85.670209,Grand Rapids,['TEDxGrandRapids'],1
43.091975,-71.46233199999999,Hooksett,['TEDxAmoskeagMillyard'],1
43.212502,-78.826103,North Ridge,['TEDxIslay'],1
43.465041,-80.523566,Waterloo,['TEDxUW'],1
43.551208,7.012695,Cannes,"['TEDxCannes', 'TED@Cannes']",2
43.604462,1.4442469999999998,Toulouse,['TEDxToulouse'],1
43.651893,-79.381713,Toronto,"['TEDxToronto', 'TEDxToronto 2011', 'TEDxToronto 2010']",3
44.058088,-121.31515,Bend,['TEDxBend'],1
44.552839,-69.631309,Waterville,['TEDxColbyCollege'],1
44.977478999999995,-93.264346,Minneapolis,['TEDxTC'],1
45.437191,12.334589999999999,Venice,['TEDxCaFoscariU'],1
45.509062,-73.553363,Montreal,"['TEDxMontreal', 'TEDxUdeM']",2
45.516018,-122.681425,Portland,"['TEDxPortland', 'TEDxMtHood', 'TEDxConcordiaUPortland', 'TEDxDirigo']",4
46.201756,6.146601,Geneva,"['TEDGlobal>Geneva', 'TEDxPlaceDesNations', 'TEDxRC2']",3
46.215624,-63.492676,Victoria,['TEDxVictoria'],1
46.232841,6.081779,Meyrin,['TEDxCERN'],1
46.521827,6.632703,Lausanne,"['TEDxHelvetia', 'TEDxCHUV']",2
47.368559000000005,8.540443,Zurich,"['TEDxZurich', 'TEDxZurich 2013', 'TEDxZurich 2012', 'TEDxZurich 2011']",4
47.498382,19.040471,Budapest,['TEDxDanubia'],1
47.603229,-122.33028,Seattle,"['TEDxSeattleU', 'TEDxRainier']",2
48.065466,17.113207,Bratislava,['TEDxBratislava'],1
48.192309,16.371364,Vienna,['TEDxVienna'],1
48.696899,-122.904198,Eastsound,['TEDxOrcasIsland'],1
48.856506,2.3521330000000003,Paris,"['TED@BCG Paris', 'TEDxConcorde', 'TEDxParis 2012', 'TEDxParis 2010']",4
49.263566,-123.138572,Vancouver,"['TED2017', 'TED2016', 'TEDxSFU', 'TED2015', 'TED2014', 'TEDxVancouver']",6
49.338206,-123.16801699999999,West Vancouver,['TEDxKids@Ambleside'],1
49.900496000000004,-97.139309,Winnipeg,['TEDxWinnipeg'],1
50.061946999999996,19.936856,Kraków,['TEDxKrakow'],1
50.110653000000006,8.682093,Frankfurt,['TEDxFrankfurt'],1
50.116003000000006,-122.95942600000001,Whistler,"['TEDActive 2015', 'TEDActive 2014', 'TED Fellows Retreat 2013']",3
50.717356,4.397805,Waterloo,"['TEDxWaterloo', 'TEDxKids@Brussels']",2
50.725646999999995,-3.5266610000000003,Exeter,['TEDxExeter'],1
50.82204,-0.137406,Brighton,"['TEDxBrighton', 'TEDxSussexUniversity']",2
50.844041,4.367202,Brussels,['TEDxBrussels'],1
50.851244,5.690976999999999,Maastricht,['TEDxMaastricht'],1
50.879202,4.701168,Leuven,['TEDxLeuvenSalon'],1
51.046362,-114.05803,Calgary,['TEDxYYC'],1
51.099884,3.739013,Ghent,['TEDxGhent'],1
51.178506,-115.574277,Banff,['TEDSummit'],1
51.507276,-0.12766,London,"['TEDxEastEnd', 'TEDGlobalLondon', 'TEDGlobal>London', 'TED@BCG London', 'TED@State Street London', 'TEDSalon London Spring 2012', 'TEDxObserver', 'TEDSalon London Fall 2012', 'TEDxGoodenoughCollege', 'TEDxLondonBusinessSchool', 'TED@London', 'TEDxImperialCollege', 'TEDxUCL', 'TEDxEuston', 'TEDSalon London Fall 2011', 'TEDSalon London Spring 2011', 'TEDSalon London 2010', 'TEDSalon London 2009', 'TEDSalon 2009 Compassion']",19
