source	target
38	1400
38	1641
38	1649
38	1733
2005	756
2005	676
508	175
508	2040
508	1122
39	131
39	63
39	205
39	1289
39	1456
131	129
131	155
131	195
131	205
131	233
131	1792
131	1846
40	241
40	65
40	551
40	731
40	759
40	1139
241	52
241	251
241	318
241	337
241	391
241	462
241	794
241	2413
65	52
65	143
65	306
65	318
65	521
65	662
65	880
65	1419
65	1949
41	137
41	541
41	1476
137	163
137	243
137	244
137	376
137	541
137	896
137	1041
137	1382
42	122
42	245
42	334
42	433
543	644
543	1561
543	2397
1909	154
44	45
44	108
44	385
44	461
44	464
44	845
44	1757
44	2164
44	2326
45	269
45	79
45	153
45	200
45	235
45	285
45	338
45	342
45	619
45	845
45	920
45	2326
45	2344
108	125
108	215
108	111
108	116
108	182
108	197
108	349
108	401
108	615
108	628
108	749
269	91
269	99
269	101
269	240
269	289
269	619
269	1035
269	1060
46	915
46	944
46	1004
46	1854
46	1873
171	203
171	395
171	403
171	480
171	817
171	1418
171	1443
171	1457
171	1723
171	1957
171	2399
48	320
48	59
48	291
48	941
48	966
48	1452
320	102
49	229
49	293
49	570
49	614
229	62
229	188
229	293
229	314
229	343
229	367
229	444
229	614
229	1331
229	1583
293	188
293	724
50	521
50	1603
50	103
50	105
50	925
50	1213
50	1320
50	1638
50	1838
50	2535
521	318
521	584
521	1139
521	1207
1603	532
1603	565
1603	1754
51	228
51	380
51	435
51	542
51	572
51	782
51	874
51	1779
228	652
228	729
228	2335
228	2361
52	238
52	84
52	119
52	138
52	274
52	275
52	292
52	319
52	414
52	456
52	565
52	809
52	876
52	970
52	1770
52	1870
238	84
238	556
238	876
84	58
84	64
84	275
84	290
84	333
84	346
84	645
84	931
84	1350
84	1373
84	1531
84	1851
84	1852
84	2055
53	1986
53	1870
53	251
1986	275
1986	1491
1870	993
54	146
54	55
54	79
54	319
54	334
54	342
54	375
54	542
54	756
54	1807
146	114
146	142
146	55
146	288
55	142
55	169
55	294
142	141
142	162
142	169
142	294
142	298
142	301
142	910
142	1699
142	1897
56	593
56	771
56	1344
56	1908
57	189
57	217
57	158
57	185
57	256
57	330
57	394
57	435
57	627
57	715
57	728
57	832
57	1782
189	256
189	911
189	217
189	330
189	1140
217	728
217	832
217	872
217	1017
217	1046
217	1838
58	179
58	149
58	333
58	631
58	801
58	1248
58	1877
179	135
179	252
179	517
179	680
59	291
59	351
59	437
59	503
59	649
59	744
59	763
59	983
59	1336
59	1380
59	1736
59	1942
60	61
60	383
60	505
61	208
61	407
61	610
61	1005
62	170
62	255
62	299
62	475
62	1163
62	1403
63	218
64	287
64	68
64	174
64	458
64	575
64	953
64	1142
64	1856
287	83
287	174
287	396
287	834
287	1575
66	83
66	174
66	589
66	1543
66	1980
83	85
83	282
83	396
83	740
83	894
83	1805
83	1980
174	85
174	659
174	776
174	1399
174	1778
174	1910
99	101
99	158
68	166
68	71
68	125
68	159
68	240
68	283
68	1014
68	2069
166	138
166	221
166	546
166	629
166	672
166	1609
69	78
69	154
69	168
69	183
69	276
69	286
69	451
69	531
69	667
78	140
78	232
78	183
78	210
78	442
78	487
78	493
78	495
78	624
78	664
78	675
